,ku
0,あきのみつ	まくらゆふのの	いくたかは
2204,みやまちは	つきよりたかし	あきのくれ
2205,むらさきの	みちにはるのの	まつかせに
2206,めくりあはむ	とはかりちきる	せきこえて
2207,もみちさへ	ありあけのつきに	たちそひて
2208,らうつつく	いりひのしつに	はれみえて
2209,りうすいを	たつねしつきの	いろすみて
2210,るるうらかせ	あらぬおちはに	かせたちて
2211,れいならは	さめかねにたる	おいのとも
2212,ろきくの	にはのあさちふ	つゆおきて
2213,わたりつつ	のへのひとむら	くれやらて
2214,あすよまて	つきはもなかの	なかめかな
2215,いさきよし	としのはつかせ	あさひかけ
2216,うちいつる	つるのおもひの	たえもせぬ
2217,えらふまは	をちかたひとに	やといてて
2218,おもひすては	かりのさかひも	すてしよに
2219,かはつらや	やなきはいとの	なみよりて
2220,きかしたた	いほりあまたの	まへわたり
2221,くむひとの	いてゆくなかれ	しかなきて
2222,けふことの	うらみになして	みるもうし
2223,ことのはの	みちのかかみや	くれぬらむ
2224,さほひめや	つきもやみねの	しめのうち
2225,したふとも	あらぬよはかり	あきのかり
2226,すゑひさに	はなさきのほる	みやまかな
2227,せめてなの	ひとをともなる	あきやまに
2228,そてにある	にほひはひとの	やすらひて
2229,たちかへり	またいにしへの	あきのそら
2230,ちとりなく	よやかはかせの	さゆるらむ
2231,つゆはたた	おきあへすしも	さえかへり
2232,てならひの	はしめはなにに	のこるらむ
2233,とりとりに	さくやふたたひ	さまさまむ
2234,なつのゆく	そてさへくさの	たもとかな
2235,にはかにも	たかしほみてる	うすこほり
2236,ぬるとりの	やとりやさむき	あきのうみ
2237,ねくらとて	むすふもくさの	うらかれて
2238,のをとほみ	ふゆかれてゆく	あさちはら
2239,ははねより	かけきわかれぬ	たまくらに
2240,ひをすまは	うちなかめつつ	よるのくも
2241,ふるさとの	ゆきのあさかけ	はるたちて
2242,めくりきて	やへたるくもの	かとのまへ
2243,ほしあひの	はまへにひとよ	かりねして
2244,まことなき	かほをはすてむ	まつりこと
2245,みちやたた	みとりのこほり	ひまくらし
2246,むすひしか	ほのみなかさの	ゆふあらし
2247,めてみるも	わかくさのまの	ゆふけふり
2248,もろともに	いつつかとてか	くるるよに
2249,らうしとや	こころにみらむ	きくのつゆ
2250,りおきつへき	そのたかはらの	あきすすし
2251,るりいろの	あまのかくやま	さむきひに
2252,れいならす	なれはいのちも	しらぬよに
2253,ろきのに	あくるひかりの	さそはれて
2254,わすれくさ	みよのほとまて	たのまはや
2255,あとはたた	しらぬはうしも	しるへにて
2256,いほにみむ	くもとやみなき	にはのゆき
2257,うめかかに	おもふきよめは	またあひて
2258,えにたのむ	まさこのたけの	ゆふけふり
2259,おとはかり	いはへのみちの	くれたけに
2260,かすみさへ	うきよのそらの	ほたしにて
2261,きぬきぬの	みちよりわけよ	はきかはな
2262,くもにかり	たににをしなく	やまちかな
2263,けふことの	つりにかをれる	ううのさと
2264,こゑかはす	まつのはやまの	おくふかみ
2265,さみたれの	くもにそらとふ	つきまちて
2266,したもみち	かつちるにはの	ゆふかせに
2267,すみよしや	うらのみなみに	つきをみて
2268,せみのなく	ふねはるかにも	いりやらて
2269,そめしやま	ありともけふの	このまかな
2270,たなはたの	わかれのこほり	こけむして
2271,ちりをつゆ	かせをまたしと	はてわけて
2272,つきにしも	さはたのすゑの	みつせきて
2273,てもろから	つきにはるゆく	あきのには
2274,とほからぬ	みかとのしもを	たひたちて
2275,なにわさも	こころいらぬは	かひなくて
2276,にはのまも	けふりはをれる	たけのこゑ
2277,ぬきおける	たもとのつゆの	いろはをし
2278,ねくらとふ	とりのひとつれ	うちはふき
2279,のをとほみ	ふゆかれてゆく	あさちとり
2280,はなにさけ	あさちかはらの	あきのしも
2281,ひくしほに	さそはれいつる	むらからす
2282,ふるさとは	ひとにとはれぬ	としくれて
2283,めにかかる	なはたたあめに	もみちして
2284,ほとほとに	なかむるとしは	たれかみむ
2285,まくらのみ	わすれかたみも	なにならむ
2286,みかのはら	うちはらふかき	やまちにて
2287,むかしわか	つらきおもひに	あらしかし
2288,めくりあらは	よしののおくの	おもひにて
2289,もすそにも	ひきとめにける	はるのそら
2290,らうつせの	はたやましろき	そらなるに
2291,りいたつら	いのちのほとも	しらぬみに
2292,るれはつたふ	まかきのつゆや	おもからむ
2293,れいならて	はなとりにたに	たのまれす
2294,ろきこそ	つきにさくらを	ゆふへにて
2295,わかみにや	おもひのすちを	なくさめむ
2296,あさけふく	をきのうはかせ	しつかにて
2297,いつくにか	つきもあすみむ	そてのいろ
2298,うしのこの	ゆくてはいとと	とにたれて
2299,えのままや	ふかきしけりの	あやなきに
2300,おもかけに	ゆめはなほはた	おもはぬに
2301,かけはなほ	ありあけのこるを	くもはれて
2302,きりさむき	のならのさとは	ちるはなに
2303,くらゐには	みをかるやまの	のこるよに
2304,けふのみか	あすもみはやと	はなにねて
2305,こひしさを	わかいのちのは	えやほやま
2306,さはみつの	なかははつちに	うつもれて
2307,したもみち	かつちるにはの	ゆふかすみ
2308,すみはてむよ	このまのみつの	ゆふたすみ
2309,せきのとも	いそかぬひとに	とひよりて
2310,そらおいは	けふあふさかの	やまもなし
2311,たつそすむ	おこなひひろふ	にはのまつ
2312,ちきりても	うきうたかひを	こころにて
2313,つきにちる	はなをうらみる	こよひかな
2314,てならひは	かくれつるまに	あふへきに
2315,とはるれは	をはなかもとの	さとならて
2316,なみまくら	さしてもわかぬ	よはふけて
2317,にほひすて	はるけきよはの	あきもなし
2318,ぬきかへむ	かきにもあやな	ふちころも
2319,ねになきて	すよにわかるる	とりとりに
2320,のこるひに	やまさはあさく	なかりけり
2321,はなにさけ	もりのしたくさ	なひきあけ
2322,ひとのみる	うまはのひをり	ときすきて
2323,ふえのねの	こすのままこに	きこえきて
2324,めにちかく	みまくほしほに	みつしほに
2325,ほとときす	しのひてなくを	たよりかは
2326,まつたにも	ふるはにやとす	よはのつき
2327,みしかよの	つきもたえすは	いてやらて
2328,むれきつつ	あせゆくしもの	うかひふね
2329,めつらしと	いひつるおいの	なみたにて
2330,もみちせは	さつきそさかり	ききのあめ
2331,らうかはし	みつもらぬまに	こやなきて
2332,りうすいを	たつねしつつむ	あまころも
2333,るれはもののねもしれは	ひとひもとほみ	かきならし
2334,れいなむよ	ほととほからし	あかのやま
2335,ろくなる	さよのやまちの	あさひかけ
2336,わたるやま	さきそふかせの	をきのおと
2337,あきはきの	はなはよしのも	いててみよ
2338,いろいろの	ことりともよふ	やなきかな
2339,うけかたき	をりをりかきり	しらぬよに
2340,えたならて	こはにとめゆく	やまもかな
2341,おちはせし	ききもほとなく	しくれきて
2342,かけふかし	よはこからしの	いはねまくら
2343,きりつくす	しほきのをちの	ひとつまつ
2344,くさわかみ	こすゑはこのめ	はるのかな
2345,けさよりは	まちこしとしの	わたりかな
2346,こをはなつ	のちもいのちは	なほそひて
2347,さくうめの	にほひやうすき	のきのまつ
2348,しくるめり	さそなみやこも	かみなつき
2349,すてふねや	ゆめのちくさに	こひしらむ
2350,せみのなく	たにのひくまか	あきかけて
2351,そてのつき	やまのはちかき	かけにして
2352,たちはなは	むかしかたりの	にほひかな
2353,ちりにけり	まちしはかりや	おそさくら
2354,つれなさも	ひきととむへき	しらへにて
2355,てにとらぬ	ははやきかはを	わかなみに
2356,とりとりの	かかるはくれは	つともしけ
2357,ならへつつ	まことならしな	たひのそて
2358,にははあき	こすゑはしもの	おそさくら
2359,ぬししらぬ	あきのしくれて	くももなし
2360,ねくらをや	とりはつはねの	したつらに
2361,ののささへ	すみうきみちの	しるへにて
2362,はなやあらぬ	をしまぬよかは	けふのはる
2363,ひとにさも	いかなるかせの	つらからむ
2364,ふるさとは	しらるるさとも	いかならむ
2365,めてかるる	あたりのはるを	たつねきて
2366,ほとけにも	かはらぬこそは	こころなれ
2367,まつかせも	くちはてにたつ	をりをりに
2368,みねのいほ	ありあけになる	くもまかな
2369,むかふひも	さはれはみすの	あふひかな
2370,めくるよを	おもへはみつの	あわなれや
2371,もみちはや	しけるもみちの	つゆしくれ
2372,らうかはし	みつもるてらの	あさかすみ
2373,りむしたた	おもひもあへぬ	わかれちに
2374,るりいつこ	つゆのたますを	うつすらむ
2375,れ
2376,ろきねの	なみよりしろき	みねのいほ
2377,わすれぬを	なかなかしとも	いのめきて
2378,あさまたき	いつくにつきの	なかるらむ
2379,いつくにも	すまるるみちは	ありやせむ
2380,うくひすも	のへせぬほとは	とはれめや
2381,えたはしひ	きををるさるの	ひとさとに
2382,おちあさき	ふみにまさらぬ	くれこめて
2383,かせさむき	ゆふへにましる	いしのうみ
2384,きのふみし	はなかとりなく	あさかすみ
2385,くさふかき	にはにをしかの	こゑたてて
2386,けふりたつ	しなとてもちれ	ほとときす
2387,ことのはの	かそいろやこの	うめのはな
2388,さむしろを	ひとりのとけき	まひのそて
2389,しらきやの	つゆわけころも	はるかせに
2390,すみたかは	そてなるつゆに	はらひいて
2391,せをはしぬ	やまもととほく	ふりそひて
2392,そよめくや	けふのふること	をきのこゑ
2393,たれならす	うかのなかまて	すきやらて
2394,ちきりこそ	こむよにむすふ	ちきりなれ
2395,つきをけさ	みはてぬゆきの	ひかりかな
2396,てにとらぬ	ははききのかせ	またふきて
2397,ともなひて	たれにかみよを	をしむまよ
2398,なかきひの	をちこちになる	そらみえて
2399,にしききも	とふまとふなと	いふほえて
2400,ぬれきぬは	つひになきよに	あらはれて
2401,ねのひせし	やとはあまれの	すまのうら
2402,のわきにも	またとてやらぬ	とまりふね
2403,はなとりの	いろねにかすめ	ふしみやま
2404,ひとりみる	ゆきのとほやま	いかはかり
2405,ふねのうへ	やまちとほくも	こえおきて
2406,めくりきや	よよにしくれし	あきのくも
2407,ほとときす	のこれるはなを	とひすてて
2408,まつにふれ	しほひはゆきの	あさかかた
2409,みにしめし	しのふやみちも	からころも
2410,むねにある	そらよりいてし	なみたかは
2411,めくるまや	つきもひとこゑ	ほとときす
2412,もくつたく	さとをやそこそ	あまつほし
2413,らうしみに	まかせあたるる	ふねのうへ
2414,りようちよき	みなとつゆけき	くさのはら
2415,るをこぬと	ききしもいかて	たつぬらむ
2416,れいならは	さてもかつへき	よのなかに
2417,ろきやす	のきはのしもの	むらからす
2418,わすれては	われをおもひの	いかなれや
2419,あしのやの	いけのみやふる	きりきりす
2420,いろつけは	やまよりかよの	さくらはな
2421,うのはなの	けふりはふゆの	さつきかな
2422,えにとほく	あきふむことの	いのちにて
2423,おほひえを	たにのむらさめ	ほのくれて
2424,かしこきや	みよのまもりと	なりぬらむ
2425,きぬきぬの	おもかけをなほ	したひわひ
2426,くももなき	つきをまかする	まくらして
2427,けふことに	のりのみひかす	わすれめや
2428,このはなき	やまこそくもや	おくるらむ
2429,さかしさや	はなのあかつき	つきのには
2430,しつくより	つゆをもそそく	いしのうへ
2431,すみはてむ	よこそひかしの	つゆなれや
2432,せみのなく	いはねのまつに	ふねとめて
2433,それとのみ	ありあけのつきや	のこるらむ
2434,たかさとも	なきあふさかに	つれなくて
2435,ちるはなに	あすはうらみむ	かせもなし
2436,つきいつる	かすみやひむす	あさほらけ
2437,てにとらぬ	ひときかへぬる	まつかせに
2438,とほきのは	それをしめのの	かへるさに
2439,なこりうき	みをあらましに	のこされて
2440,にほひきく	はなやよことの	あふきかな
2441,ぬれつつも	われはかりこく	よるのあめ
2442,ねにたては	おもひいてある	こころにて
2443,のちのよの	つるきたえまや	わたすらむ
2444,はるのよの	つきもたひねに	あけやらて
2445,ひとはいさ	うめはひとしき	みやゐかな
2446,ふなてせの	ともしひあをく	のこるよに
2447,めくるよを	おもへはみつの	あわににて
2448,ほとけには	なるもならぬも	こころにて
2449,まつのはの	あきふかくなる	かせおちて
2450,みちとほき	そてになみたの	おちそめて
2451,むしろをは	もみちにむすふ	のりのには
2452,めてたきを	わかみのうへに	ならへたた
2453,もえしこそ	ここらのふねの	いたひなれ
2454,らうかはる	けしきとゆけは	はなもなし
2455,りうくうも	さされいしちに	なみこえて
2456,るりいろの	あまのかくやま	みねはれて
2457,れいならぬ	ひとのゆききに	なくさめて
2458,ろしとて	しのふわかれの	すゑのあき
2459,わくるのを	しくれやすめる	くさまくら
2460,あふくへき	うきみならすは	いかかせむ
2461,いつよりか	すてはてにけむ	はしはしら
2462,うゑてけり	のさとのをちの	あきのかせ
2463,えらひおく	うたのまきまき	わたりかは
2464,おいそうき	いかにしひては	たつぬらむ
2465,かすみをも	もるれはつきや	まつのおと
2466,きりまそふ	みちはくれけり	かはらかせ
2467,くもとりの	かへるをはるの	くすはかな
2468,けさしもあれ	はらふまいはま	はるのくさ
2469,ことのはの	そことおもふな	つゆもしれ
2470,さゆるよの	しきのはねかく	ふくるよに
2471,しかのねに	やまちすかはの	ゆふつくり
2472,すたれかは	かへりそへたる	にはのくさ
2473,せみのこゑ	もものかなしき	ゆふつくよ
2474,そめそめて	こからしになる	しくれかな
2475,たかさとも	いくひとよをは	しのふらむ
2476,ちらすなよ	あらしやそめし	したもみち
2477,つきさむき	あきのひかりの	かすかすに
2478,てふむしも	ひなよりけらし	まとのうち
2479,ともさそと	うちかへるさを	くるしめて
2480,なからへむ	みはなほやまも	おほかたに
2481,にほへうめ	みにこそよその	はるのかせ
2482,ぬれきぬに	つつけつくして	なくかはつ
2483,ねさめこそ	たよりあられの	おほひえて
2484,のとかなる	にはにひとめの	つきをみて
2485,はなをおく	みちこそたけの	したはれに
2486,ひにけふは	ひなのわかれも	あらはれて
2487,ふえたけの	うきもはたもの	かはりきて
2488,めくりあふ	なかにこころを	たのみきて
2489,ほしのかけ	うつりかぬへき	いちめかは
2490,まつそふく	なつむらいけの	ゆふまくれ
2491,みつきよく	わかはのをきに	とをあけて
2492,むすひおく	にはのまさこの	つゆしけみ
2493,めくりてや	おなしねさめに	しくるらむ
2494,もとめしよ	よしやいつれの	やまさくら
2495,らうすめる	すすきやみつも	にほふらむ
2496,りうしよくの	あめふるのみか	はてならむ
2497,るれはつま	たてるいほりを	わかくさに
2498,れいならて	こむよもきふと	いひすてて
2499,ろにて	ひとたのちはや	にほふらむ
2500,われとのみ	おいにみえしの	ゆふかすみ
2501,あさしくれ	そらによさむや	のこすらむ
2502,いなつまの	すゑもわかれす	とほきのに
2503,うしとても	おもはすはたた	かたみにて
2504,えのみつは	つきのすかたも	すすしきに
2505,おとろかる	みはたれたにも	おもふらむ
2506,かせやちる	にははこものの	あさひかな
2507,きみやこし	われもやさそな	はるのつき
2508,くもにこそ	さつきやおきの	あきのくも
2509,けふよるや	うめのいろかる	いとさくら
2510,こをおもへる	みやこはなれて	をしへすて
2511,さすひをも	しけりてたのむ	すみところ
2512,しけるまて	あきのほたるの	にほひかな
2513,すみよしや	こよひはかりの	つきもかな
2514,せみのこゑ	しはのとくちの	くらきよに
2515,そよめける	つきのこほりの	しつかにて
2516,たとりゆく	なからはしらぬ	みちあれて
2517,ちらしすて	かせややまもと	むらかしは
2518,つきになほ	かはりしひとは	わすられて
2519,てるつきの	かたわれつきの	いぬのこゑ
2520,とるつかの	みしかきふても	すくなくて
2521,ななたりの	たけのはわけの	わたのはら
2522,にほひかは	あきのはなのの	あさくもり
2523,ぬれてゆく	せきのをかはの	くれわたり
2524,ねさめせし	つきいるくもの	あさまたき
2525,のちのよは	けふりのうちを	すみかにて
2526,はるのかり	かへりはとりや	つらからむ
2527,ひとりつつ	めくりあはせよ	わかこころ
2528,ふきいつる	おとやききたき	まつのとに
2529,めかれつる	としをかききつ	おいののち
2530,ほのかにも	うかふならひの	くつしかな
2531,まつたてる	のへのをちかた	きえかへり
2532,みかつきは	かすみになれる	てらちとり
2533,むすふへき	えにしのほとや	わかさらむ
2534,めくりてや	おなしうきよの	まちならむ
2535,もみちはの	あくれはとほき	はるのやま
2536,らうからぬ	むくらかるへき	いもかひに
2537,りうすくもに	つきもなきまつ	あふひかな
2538,るりいろの	あまのまさまに	いねのとこ
2539,れいならて	はなみぬはるは	なかなかし
2540,ろきつき	ひとりのやまの	かけふけて
2541,わかなかの	うらみをわくる	なかにして
2542,あはてゆく	みついそかれて	なくさみて
2543,いさりする	かけひのしたの	うもれみつ
2544,うちとけて	かたりしなこり	おもひやれ
2545,えたかさす	うちのあやめく	ふかきよに
2546,おもふこと	たちゐにつけて	みるもうし
2547,かけとほく	あしろきとのの	あさまたき
2548,きみすまは	はなちるなかの	わかなかに
2549,くもままつ	やまちさひしく	くれそめて
2550,けふりふす	あとにあやなき	よはならて
2551,ことのはの	もみちかかきは	なもしるし
2552,さきましる	このやまのなか	うすかすみ
2553,しくるるも	ひときのかけの	ちきりかな
2554,すすしさに	さそはれいつる	まつのかけ
2555,せみのこゑ	すすしきつきの	そらさえて
2556,そめよなほ	うすくれなゐの	つゆもなし
2557,たひそうき	かへらはさそへ	みねのくも
2558,ちらすして	かせややまもと	むらかしは
2559,つくりしも	あはれひまなき	あさちはら
2560,てふとりの	ともなせはるの	かりねして
2561,とりのねも	きかぬをゆきの	ゆふへかな
2562,なかかはの	あきもくもゐの	とこのうへ
2563,にはかにも	かせあるよはの	あけはなれ
2564,ぬさとなと	ちるをみたるる	ともしはや
2565,ねやひとつ	いはもとすすき	さされをき
2566,のちのよの	ねかひたになと	かたからむ
2567,はるをへて	かけもこたかき	うゑおきて
2568,ひくらしは	なのみこゑする	あさほらけ
2569,ふくからに	よるししふえを	のにききて
2570,めつらしき	ひとにけふとけ	はなのひも
2571,ほとへつる	ひなのなかちの	わかやとり
2572,まれにけふ	わかゆふくれを	つくしきて
2573,みつけふる	たにのかけはし	あらためて
2574,むらからす	このはのおとに	さきもゐて
2575,めくりあふ	あらしのとこや	ありぬらむ
2576,ものおもふ	ふみもゆりとも	おとろかに
2577,らうすくも	あるまてたひの	ふねのうへ
2578,りうくもの	かよふはうつせ	はなすすき
2579,るりいろに	よはうしろみも	またれかし
2580,れいならす	なれはかきりも	うきものを
2581,ろころも	きりわけゆくは	しきたちて
2582,わかれちは	のこれるはなを	よもしらし
2583,あとをたに	いへはよしのの	からころも
2584,いつちとか	ゆきにきぬさる	くすはかな
2585,うつしうゑて	いろこくたかし	にはのゆき
2586,えたかはす	もみちはいかに	やなきかけ
2587,おいはより	たのむこころや	くちぬらむ
2588,かすむへき	ものとやこそは	みねのゆき
2589,きぬきぬの	かをなつかしき	まそのとに
2590,くれたけの	よはさわきつつ	なかれきて
2591,けさはかつ	うつろふきくに	ゆきかへり
2592,ことのはや	すまひにきつる	あさころも
2593,さむきひは	みつにほたるの	いろそひて
2594,しらくもの	わけうきみねの	はなにきて
2595,すすしさは	なつかあきかの	ゆふまくれ
2596,せくみつを	こほりにゆつる	くちはかな
2597,そてのつき	なもすめはとも	はれやらて
2598,たへつつ	かへるくもゐに	すみなして
2599,ちりしける	はなはもろえの	なこりにて
2600,つれなかる	いのちはひとに	いひわひて
2601,てるつきの	をちのあさかほに	ひをうちて
2602,とこなつや	つゆさへはなに	かへるらむ
2603,なとてわか	のりにたかへを	のこすらむ
2604,にほひきて	このまのうめの	たちよりて
2605,ぬれぬれむ	なみいかはかり	すすかかは
2606,ねをやたた	はすのとかにも	なりぬらむ
2607,のはわかぬ	したもえしるき	こゑとほみ
2608,はなもたた	なにきくほとの	みちもなし
2609,ひとまつは	きみになひきそ	まつのかせ
2610,ふしみえや	ふすうくひすの	をとこやま
2611,めてたきを	わかみのうへに	ならへたた
2612,ほとときす	ほのかなるねを	はつねにて
2613,まへうしろ	たけあるさとに	やすらひて
2614,みすやあらぬ	いくふなみちの	ふしのゆき
2615,むすふてふ	みつのあたりを	こころにて
2616,めにさらは	ものおもふにや	しらるらむ
2617,ものをのみ	おもひつらねて	なかきよに
2618,らうかはし	かみなりとよむ	すゑのあき
2619,りうしよくの	ふすゐをいつの	もとむらむ
2620,るいにふれ	つきをならひの	わかなかな
2621,れむかをは	かせもおとせし	たにのみつ
2622,ろうしの	よはなみたらす	とりのこゑ
2623,わくるまの	ひたりみやこの	なはたけぬ
2624,あきはきの	こころもゆきの	なこりかな
2625,いはかねの	おくになるるも	はやみえて
2626,うめいつく	にほひそめぬる	ふゆのきく
2627,えやはねむ	あわとしらかの	うきこころ
2628,おもひやる	むかしのあとの	やすむらむ
2629,かりそなく	わかれやいつち	たつぬらむ
2630,きのふみし	はなかところに	ふきあかし
2631,くれなゐに	のてらのゆきの	あしたかな
2632,けふもなほ	みなとのふねの	ひきすてて
2633,ことのこゑ	きみかためせし	とこのうへ
2634,さかこえて	はなみにあける	あめきくの
2635,しつけさや	わかよのさむる	ちよならむ
2636,すみのえや	かせのいくよを	すきつらむ
2637,せみのなく	かたつやまさと	あきかけて
2638,そことなく	かすむあけほの	おきいてて
2639,たちときす	ささはなきよの	まとにねて
2640,ちりはらひ	にはのひにあき	さきそめて
2641,つきうつる	まくらのとやま	ゆききえて
2642,てつくりを	さらにかひをも	たにくらし
2643,とりのねに	たをりてかへる	はなもかな
2644,なかかれと	いにしへもこそ	ねさめなれ
2645,にけなきは	いくとせこえて	いろこのみ
2646,ぬきかへむ	かきにもあやな	ふちころも
2647,ねになきて	よそのゆふへを	あはれみて
2648,のへみれは	ゆきふりつつく	したもえて
2649,はるはみな	はなまちをしむ	ひかすかな
2650,ひとこゑを	とりもすすめよ	やまのおく
2651,ふみしより	みきのかはつを	わかるらむ
2652,めにかかる	たみのあはれも	みにしらて
2653,ほとときす	いくすきむらを	たつぬらむ
2654,まつはらの	いろやみとりも	あらさらむ
2655,みちのへや	ひむろのにはの	ゆきもなし
2656,むかしさへ	かりははまれの	みゆきにて
2657,めかるれは	すすろになりぬ	あきのそら
2658,もすそにも	ひくはあやめの	かつらかな
2659,らうかせに	せかるるつきや	かすむらむ
2660,りむしにも	かはるはかりの	しはのとに
2661,るまにやは	ねなみのうちを	たえつらむ
2662,れいなむよ	いまはのときや	みえぬらむ
2663,ろきみに	いきたついとの	したもえす
2664,わたりつつ	つれなくけふも	しのひきぬ
2665,あしのほは	かさぬるきぬの	わたならて
2666,いてにしも	つきいるさやに	たつたやま
2667,うちいてて	つきまつあきの	ひかりかな
2668,えたなから	をるへくつきや	かけぬらむ
2669,おひかせの	ふなてせよとや	なくからす
2670,かはつなく	みつののはらの	つゆおちて
2671,きのふより	たみのみやこを	はなれしま
2672,くにくにも	なくてややふけ	なひくらむ
2673,けふもまた	いつかはこよひ	あきのつき
2674,こころこそ	ひくわかかへの	うまやちに
2675,さとのこの	つきのかすみに	わけいりて
2676,しつけさや	かはそひならし	いはねまつ
2677,すむひとも	しらすいくよの	やとなれや
2678,せみやはな	さくらににほへ	うめのはな
2679,そらにみよ	つきみぬものの	あきのかせ
2680,たかのなの	やよひのうちを	わするらむ
2681,ちきりさへ	はなにさくへき	みちもかな
2682,つたかかる	いはかきつはた	はなもなし
2683,てもふとふ	みちのたむくる	ましはりに
2684,とるやさと	のやまいろこき	ひはくれて
2685,なれゆけは	こころのあるも	うらめしや
2686,にほひくる	はなのおいきは	ふかきよに
2687,ぬししらぬ	かりのなくての	しるへにて
2688,ねところの	さはりいろこき	よはのつき
2689,のりのちの	すゑのかよひち	くれわたり
2690,はるかなる	まくらにちかき	かねのおと
2691,ひのくれに	さくとともしの	うちなきて
2692,ふくをきく	そらとふとりの	あすかかせ
2693,めつらしき	ひとにけふとけ	はなのひも
2694,ほすひまも	つきはおもはぬ	そてふれて
2695,まさこちの	よるはなこりの	つゆもなし
2696,みちほそし	かとたはつゆき	はしはくさ
2697,むらはきの	けふひともとの	さかりかな
2698,めつらしき	なかにこころや	すすむらむ
2699,もみちはや	ちりもてせしも	ゆふつくよ
2700,らうつつく	ちまたのつきに	たたすみて
2701,りうすいを	たつねしつきの	いろすみて
2702,るれはかせの	こけのはつきも	すくなきに
2703,れむかをは	たれをたのまむ	みのゆくへ
2704,ろにて	ひかすそをきの	はやまかな
2705,わくらはの	ねにゆくかたを	うらやみて
2706,あきののを	ひくやよとちの	たかせふね
2707,いしふみや	なほつらきめを	みそきかは
2708,うくひすの	はかせはちらせ	はなさくら
2709,えにとほし	あしたのつきや	てらさらむ
2710,おもかけの	たちゐにまつを	はなもみつ
2711,かしこきは	ひとのうへにや	こもるらむ
2712,きりきりす	そてのしたくさ	あらはれて
2713,くもはたた	つきいつるまま	ふけやらて
2714,けふことの	はなをもよほす	あまつかな
2715,このよには	あらしといふを	とひもせて
2716,さとさとの	ともしひきえて	ふくるよに
2717,しつのめか	ねてのあさせの	はなのいろ
2718,すみはてむ	よこそかへさの	みみたなら
2719,せみのこゑ	しはのとくちの	くらきよに
2720,そらにしらぬ	ゆきとしそてに	はなちりて
2721,たかわけむ	かはつのはなの	あさかすみ
2722,ちりのこれ	あらしまちとる	むらかしは
2723,つきやそて	とはすはいろに	いそくらむ
2724,てにふれぬ	ときのまつかせ	さえかへり
2725,とりのこゑ	くれはつるまて	うつきぬた
2726,なくかりの	あとはのはらに	さたまらて
2727,にきはひの	けふりをたたぬ	はなおちて
2728,ぬれぬれむ	なさけしきこそ	かなしけれ
2729,ねくらとふ	とりのひとつれ	うちはふき
2730,のこりつる	つきよいかてと	さためかね
2731,はなはたた	こころのおいの	かさしかな
2732,ひとこゑを	とりもすすめよ	やまのおく
2733,ふしのやま	たえすやかへり	かへるらむ
2734,めてたきを	わかみのうへに	ならへたた
2735,ほのすすし	はるかせちかし	まとのたけ
2736,まつかえは	ゆきののきはに	よこたへて
2737,みちにある	ことははそふも	あすかかみ
2738,むしのねも	いろなるのへに	あきふけて
2739,めくりてや	おなしうききの	まつりこと
2740,もみちをや	みわのひはらに	かさすらむ
2741,らうかはる	けしきのやみの	かすむよに
2742,りちのねは	けさのあしたの	つゆおちて
2743,るるいろの	はなはしのふの	みねのくも
2744,れいならは	さむさそひぬる	したつかに
2745,ろきには	みえていくせの	たえたえに
2746,わかこひに	さそはれてゆく	まつりこと
2747,あすもふれ	うすきはやまの	はつしくれ
2748,いまはたた	こひしきほかの	やまもなし
2749,うすきりの	やまよりほかに	ふけそめて
2750,えたわかぬ	のきはのいはほ	つゆふけて
2751,おもかけは	うみもうこかす	ひのさして
2752,かふりきく	あへすもしるき	みちのへに
2753,きぬきぬの	つきたにつらき	ものおもひ
2754,くさまくら	さとはあるよに	さつきいてて
2755,けさのあさけ	ゆきやきえまに	なりぬらむ
2756,このさとの	たかきもはなは	さやかにて
2757,さらてしも	またあひみむる	やともなし
2758,しろたへの	かたひらゆきに	とをあけて
2759,すみたかは	そてはなににか	かかるらむ
2760,せみのなく	かたつやまさと	あきかけて
2761,そてまては	またきにあきの	のかせして
2762,たひまくら	ちきりしひとに	つきをみて
2763,ちきれつつ	うかひもなしや	ここのそち
2764,つきふけぬ	さるさけふこゑ	まつのかせ
2765,てるつきの	あかぬものから	たつねより
2766,ときはきも	おいのしくれに	おとつれて
2767,なきすとる	かたやまはたの	いほさむし
2768,にほひそふ	はなはことさら	ちりやせむ
2769,ぬきおける	なこりむなしき	からころも
2770,ねぬるよの	ころもにほはせ	のちもみよ
2771,のかれすも	ふけわたりたる	つきのもと
2772,はなをけふ	われありかほに	をさめきて
2773,ひののこす	あとよりもなほ	いねかてに
2774,ふきあれる	あめはあはれに	うちちりて
2775,めくりある	よをとやさむき	あきくれて
2776,ほとときす	それもまちける	やまへかな
2777,まさこちの	すゑやかりふし	やのこすゑ
2778,みにしめて	かせはつかのは	のへもなし
2779,むらちとり	たちさへつれて	なかきよに
2780,めくりあへは	ともにしのふる	みのふりて
2781,もろひとの	つゆのまくらに	をりしきて
2782,らうしみに	あひのこしたる	ふちころも
2783,りうくしきに	なりてやたひは	わかるらむ
2784,るれはあらし	はなのことわる	あらしかな
2785,れいならぬ	きのふのくるま	ゆきやらて
2786,ろきみは	いそくかはらの	すみところ
2787,わかこころ	あくかるるまに	はるくれて
2788,あふときも	こころつよくは	ことそめて
2789,いそやまの	ことにくもりて	ふるゆきに
